repo_name,week,n_prs,mean_log_hours,mean_hours,merge_rate,is_treated_repo,treatment_date,event_time_weeks,post,treated,treated_x_post,event_quarter,eq_m8,eq_m7,eq_m6,eq_m5,eq_m4,eq_m3,eq_m2,eq_0,eq_1,eq_2,eq_3,eq_4,eq_5,eq_6,eq_7,eq_8
AUTOMATIC1111/stable-diffusion-webui,2024-10-21,9,4.482529119120325,581.0,0.0,True,2022-10-11,106.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-10-28,7,1.4393941104966548,171.0,0.0,True,2022-10-11,107.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-11-04,2,1.545521226679158,10.5,0.0,True,2022-10-11,108.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-11-18,4,1.9544063607633424,8.75,0.0,True,2022-10-11,110.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-11-25,2,2.04717228111105,15.0,0.0,True,2022-10-11,111.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-12-02,1,5.8522024797744745,347.0,0.0,True,2022-10-11,112.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-12-09,2,2.433767225227791,64.5,0.0,True,2022-10-11,113.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-12-23,8,0.8343201739768032,4.0,0.0,True,2022-10-11,115.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,2024-12-30,2,1.629048269010741,6.5,0.0,True,2022-10-11,116.0,1,1,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Homebrew/brew,2023-05-29,15,2.8057778315672577,115.4,0.0,True,2025-05-27,-104.0,0,1,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homebrew/brew,2023-06-05,13,2.00493549797994,44.61538461538461,0.0,True,2025-05-27,-103.0,0,1,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homebrew/brew,2023-06-12,11,2.339490676956766,158.0909090909091,0.0,True,2025-05-27,-102.0,0,1,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homebrew/brew,2023-06-19,20,2.248950740943779,56.95,0.0,True,2025-05-27,-101.0,0,1,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
