repo_name,month,n_prs,mean_log_hours,is_treated_repo,treatment_date,event_time_months,treated,em_m24,em_m23,em_m22,em_m21,em_m20,em_m19,em_m18,em_m17,em_m16,em_m15,em_m14,em_m13,em_m12,em_m11,em_m10,em_m9,em_m8,em_m7,em_m6,em_m5,em_m4,em_m3,em_m2,em_0,em_1,em_2,em_3,em_4,em_5,em_6,em_7,em_8,em_9,em_10,em_11,em_12,em_13,em_14,em_15,em_16,em_17,em_18,em_19,em_20,em_21,em_22,em_23,em_24
square/leakcanary,2023-06-01,3,7.023413420673454,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2023-07-01,1,8.01862546504575,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2023-08-01,1,7.757051142032013,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2023-09-01,1,0.0,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2023-10-01,5,4.338876531447243,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2023-11-01,2,4.496465176254866,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2024-01-01,21,2.0969430264795355,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2024-02-01,5,6.155851328861222,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2024-03-01,3,0.23104906018664842,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square/leakcanary,2024-04-01,5,1.5453307329695285,False,,-999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
